month_number,# Cash&Carry Retail Stores,Revenues ($K),COGS  ($K),Gross Margins  ($K),Logistics  ($K),Net Margins  ($K),Net Indirect Expenses  ($K),    Salaries  ($K),    Overheads  ($K),EBITDA  ($K),Change in working capital  ($K),Finance Costs  ($K),Net Flow (Burn)  ($K),month
7,53,10.993646153846154,-5.683661538461538,5.309984615384615,-3.1905384615384613,2.119446153846154,-43.02566153846154,-21.544553846153846,-21.481107692307692,-40.906215384615386,-0.3365076923076923,-2.3210307692307692,-43.563753846153844,JULY
8,61,11.084430769230769,-5.512784615384615,5.571646153846154,-3.210523076923077,2.361123076923077,-49.070123076923075,-25.00923076923077,-24.060892307692306,-46.709,-1.5846615384615386,-2.3210307692307692,-50.61469230769231,AUGUST
9,72,14.8718,-7.323430769230769,7.5483692307692305,-3.0315384615384615,4.516830769230769,-63.71904615384615,-30.88766153846154,-32.831384615384614,-59.202215384615386,-3.4084,-2.3210307692307692,-64.93164615384616,SEPTEMBER
10,88,19.900876923076922,-11.068353846153846,8.832523076923078,-5.248507692307692,3.584015384615385,-58.77949230769231,-30.36576923076923,-28.413723076923077,-55.195476923076924,0.1416,-2.3210307692307692,-57.374907692307694,OCTOBER
11,108,20.792984615384615,-12.030153846153846,8.762830769230769,-6.2748,2.488030769230769,-54.949415384615385,-30.156384615384617,-24.793030769230768,-52.46138461538462,-4.373461538461538,-2.3210307692307692,-59.155876923076924,NOVEMBER
12,127,30.33616923076923,-21.256138461538463,9.080030769230769,-10.603338461538462,-1.5233076923076923,-66.174,-35.51963076923077,-30.65436923076923,-67.69730769230769,-9.95783076923077,-2.3210307692307692,-79.97616923076923,DECEMBER
